name,traffic_score,rating,category,state
TCE Tackles Sdn Bhd,58.29,4.0,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,69.29,4.4,Fishing & Hunting,Sabah
TOP GYM FITNESS (TMN DESA CEMERLANG) 小巨人健身室,63.14,4.6,Gyms & Studios,Johor
Seven Star Gym Pulau Tikus,42.14,4.9,Gyms & Studios,Other
24-Hour Gym: Anytime Fitness Tanjung Tokong George Town Penang,38.86,4.8,Gyms & Studios,Penang
Jabfit & TCM Rehab,34.86,5.0,Gyms & Studios,Penang
EAST SOUND Fitness Center Club,52.14,4.8,Gyms & Studios,Other
Anytime Fitness Platinum Arena,38.14,4.4,Gyms & Studios,Kuala Lumpur
Train by Blackbox,31.17,5.0,Gyms & Studios,Selangor
Kayxi Beauty Spa and Makeup,54.14,5.0,Saunas & Spas,Kelantan
Celebrity Fitness Gym - Queensbay Mall,43.86,3.9,Gyms & Studios,Other
Hikari Martial Arts Gym | Ampang Branch,32.57,4.9,Martial Arts & Dojos,Kuala Lumpur
FEBA Fight Club,46.14,5.0,Martial Arts & Dojos,Selangor
Merican Muay Thai Gym - Damansara Jaya,47.0,4.4,Martial Arts & Dojos,Selangor
MMA Sports Hub,35.14,5.0,Martial Arts & Dojos,Sarawak
Novothai Spa,56.43,4.7,Saunas & Spas,Perak
Toy World Amusement Baby Shark Adventure Ville,37.29,3.7,Recreation Centers,Johor
Kolam Pancing Santai Sg. Tekali (Rohu & Patin),43.43,4.9,Fishing & Hunting,Selangor
Kolam Pancing NAZ Fishing Valley,34.67,3.6,Fishing & Hunting,Selangor
Melwood Arena Sungai Buloh,29.71,4.5,Team Sports & Fields,Selangor
Power Gym Kuching City Mall,51.57,4.5,Gyms & Studios,Sarawak
V Spa Bintulu,63.14,4.9,Saunas & Spas,Sarawak
Sergio Aguero Arena,28.14,4.9,Ball Sports,Pahang
EV Arena Elmina,17.43,4.4,Team Sports & Fields,Selangor
Tunas Badminton Sports Centre,20.0,4.9,Team Sports & Fields,Negeri Sembilan
Pronet Sport Centre,27.57,4.6,Recreation Centers,Negeri Sembilan
Yosin Badminton Court 2 (Previously known as Elite Sports),24.86,3.5,Other Outdoor & Lawn Sports,Selangor
Mini Mak Chili Stadium,44.83,4.8,Recreation Centers,Terengganu
Footballhub @ Eco Grandeur,18.71,4.4,Team Sports & Fields,Selangor
Esplanade Bowl Kg. Koh,35.29,4.2,Recreation Centers,Perak
Elite Futsal and Badminton,58.14,3.9,Other Outdoor & Lawn Sports,Perak
FR Badminton Sports,26.0,4.7,Team Sports & Fields,Selangor
Dewan Badminton Haji Amir,37.57,4.8,Recreation Centers,Terengganu
Tupah Sports Centre,33.86,5.0,Other Outdoor & Lawn Sports,Kedah
Batu Berendam Badminton Hall,27.86,4.7,Recreation Centers,Melaka
UIA Football Turf,33.29,3.8,Team Sports & Fields,Kuala Lumpur
BB Sports Park,43.29,4.4,Recreation Centers,Kuala Lumpur
Level Up Fitness Xpress Marina Square (24 Hour Gym),53.67,4.2,Gyms & Studios,Sarawak
Kapten Gym,51.71,4.2,Gyms & Studios,Negeri Sembilan
AS Futsal Tok Jembal,27.14,4.8,Ball Sports,Terengganu
Miya Futsal Sport Centre,51.29,4.9,Ball Sports,Terengganu
Futsal Arena Alam,45.0,4.8,Ball Sports,Johor
BFT Damansara Heights,37.33,5.0,Gyms & Studios,Kuala Lumpur
雪兰莪兿峰龍獅體育會 Persatuan Sukan Ngai Fong Ampang Selangor,33.0,4.5,Recreation Centers,Selangor
Sakura Spa,58.86,4.4,Recreation Centers,Kuala Lumpur
Wedge Range PJ,49.71,4.8,Golf & Driving Ranges,Selangor
VSE GOLF RANGE SIMULATOR,57.14,5.0,Golf & Driving Ranges,Selangor
Underpar Driving Range,32.43,5.0,Golf & Driving Ranges,Pahang
Blue Ice Snow Park @ Pavilion Bukit Jalil,58.0,4.1,Skating & Rinks,Kuala Lumpur
Kolam Pancing MV Air Masin,54.86,3.3,Fishing & Hunting,Selangor
Genki Wellness Centre & Japanese Spa,58.57,4.8,Saunas & Spas,Other
Crystal Leaf Beauty SPA,34.71,4.9,Saunas & Spas,Johor
AP GYM & FITNESS,37.43,4.2,Gyms & Studios,Johor
Kong Gym and Body Building Centre,29.57,4.8,Gyms & Studios,Negeri Sembilan
Pro-Fit Fitness Studio (1-on-1 Personal Training Private Studio),36.33,4.8,Gyms & Studios,Kuala Lumpur
TOP GRACE ARENA SPORT,49.14,4.7,Other Outdoor & Lawn Sports,Sabah
AFC Athlete Fitness Centre,50.29,4.4,Gyms & Studios,Johor
Cobra Gym Express Seksyen 32 Shah Alam 24 Hour Fitness,46.57,4.4,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,72.29,4.5,Fishing & Hunting,Sabah
Max Power Gym & Fitness Studio,43.17,4.4,Gyms & Studios,Kedah
Kolam Memancing PokNik,35.29,3.9,Fishing & Hunting,Pahang
Master Badminton Club (MBC) Klebang,53.43,4.4,Other Outdoor & Lawn Sports,Perak
Transform Gym Battle Zone,48.14,4.2,Gyms & Studios,Johor
Anytime Fitness Eco Sky,30.0,4.7,Gyms & Studios,Selangor
Kuala Lumpur Sports City,13.57,4.4,Recreation Centers,Kuala Lumpur
Celebrity Fitness - MyTOWN Shopping Centre,40.71,3.9,Gyms & Studios,Kuala Lumpur
Myraz Gym & Studio,59.33,4.4,Gyms & Studios,Selangor
Subang Racquet & Golf Center,40.14,3.4,Recreation Centers,Selangor
Believe Fitness BMC Mall,46.57,4.3,Gyms & Studios,Selangor
Kolam Pancing Udang Galah Mileseven Ijok,20.57,4.1,Fishing & Hunting,Selangor
TCE Tackles Sdn Bhd,60.14,4.1,Fishing & Hunting,Kelantan
TCE Tackles Sdn Bhd,67.57,4.2,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,64.43,4.0,Fishing & Hunting,Perak
TCE Tackles Sdn Bhd,74.43,4.2,Fishing & Hunting,Kuala Lumpur
Yiko Badminton Sarikei,27.71,4.8,Other Outdoor & Lawn Sports,Sarawak
TCE Tackles Sdn Bhd,67.71,4.2,Fishing & Hunting,Kelantan
Anytime Fitness Setia Tropika,29.14,4.6,Gyms & Studios,Johor
Cowboy Fitness Taman Pelangi Johor Bahru,54.14,4.8,Gyms & Studios,Johor
KAS Kepong Arena Sports,51.29,4.0,Other Outdoor & Lawn Sports,Kuala Lumpur
TCE Tackles Sdn Bhd,61.14,4.8,Fishing & Hunting,Sabah
Mighty Fitness Gym,38.14,3.8,Gyms & Studios,Pahang
CLUBALOHA (Plaza Damas),42.86,4.8,Gyms & Studios,Kuala Lumpur
"Darulaman Golf & Country Club, DGCC",61.57,4.0,Golf & Driving Ranges,Kedah
Level Up Fitness MJC Papillon (Premium 24-Hour Gym),43.43,4.7,Gyms & Studios,Sarawak
Masterscaff Indoor Paka,32.14,4.1,Ball Sports,Terengganu
Kampung Gym (Seelong Branch),56.29,4.9,Gyms & Studios,Johor
TCE Tackles Sdn Bhd,45.0,4.6,Fishing & Hunting,Kedah
Terengganu Royal Golf Club,61.0,4.1,Golf & Driving Ranges,Terengganu
Brothers Futsal Centre,34.43,4.0,Ball Sports,Selangor
Mayi Ayur Yoga,57.86,4.9,Gyms & Studios,Selangor
Surya Yoga bukit tinggi,30.17,3.9,Gyms & Studios,Selangor
"DEWAN BADMINTON D'BARUH MURING, BINJAI BONGKOK",61.43,4.3,Gyms & Studios,Terengganu
Top Speed Fitness - Subang Jaya,35.43,4.0,Gyms & Studios,Selangor
ALTEC Table Tennis,55.0,4.5,Recreation Centers,Selangor
V Spa Reflexology,70.57,4.7,Saunas & Spas,Sarawak
TCE Tackles Sdn Bhd,61.43,3.9,Fishing & Hunting,Sarawak
LEE'S TACKLE HOME MIRI,59.0,4.5,Fishing & Hunting,Sarawak
Pusat Latihan Pasukan Gerakan Am,50.14,5.0,Shooting & Gun Ranges,Perak
Cobra Gym Express Bukit Tinggi 24 Hour Fitness,24.14,4.5,Gyms & Studios,Selangor
Synergy Fitness Seri Kembangan,41.43,4.1,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,64.29,4.2,Fishing & Hunting,Other
UM Varsity Green,28.71,4.5,Team Sports & Fields,Kuala Lumpur
Yosin Kampung Subang Court,44.57,4.2,Other Outdoor & Lawn Sports,Selangor
The Parenthood @ Sunway Pyramid,64.0,4.2,Recreation Centers,Selangor
Infinity Line Fitness,32.57,4.3,Gyms & Studios,Perak
Eng Kwang Temerloh,44.43,4.2,Fishing & Hunting,Pahang
Level Up Fitness Xpress AEON Kuching Central (24-Hour Gym),60.86,4.6,Gyms & Studios,Sarawak
Vo2 Energym,36.86,4.5,Gyms & Studios,Johor
Kompleks Belia Dan Sukan Negeri Sembilan,34.0,4.2,Recreation Centers,Negeri Sembilan
Kudat Sports Complex,44.43,4.1,Recreation Centers,Sabah
Anytime Fitness Impiria Bukit Tinggi,41.0,4.0,Gyms & Studios,Selangor
TCE Tackles Sdn Bhd,48.57,4.3,Fishing & Hunting,Kedah
Rally Melaka,34.14,4.0,Recreation Centers,Melaka
