name,lat,lon,category,traffic_score,rating,state
SPA Manja,1.48769488,103.75530373,Saunas & Spas,47.43,4.1,Johor
Celebrity Fitness Gym - Palm Mall,2.72013071,101.92076365,Gyms & Studios,40.57,3.8,Negeri Sembilan
7 Fitness Sports Centre,2.70626154,101.92423484,Gyms & Studios,60.43,4.0,Negeri Sembilan
Badminton Hall Sri Amar (Sri Amar JL Sports Centre),1.51730825,103.75984335,Other Outdoor & Lawn Sports,42.43,4.3,Johor
TCE Tackles Sdn Bhd,2.05741363,102.55786542,Fishing & Hunting,67.0,4.0,Johor
SKT Golf Studio,3.09302628,101.59999836,Golf & Driving Ranges,26.17,4.3,Selangor
Everyday Sports,1.53409579,103.68739783,Ball Sports,35.71,4.3,Johor
W Traditional Thai Therapeutic Wellness - Mont Kiara / 滿家樂,3.17233363,101.65219549,Saunas & Spas,68.43,4.8,Kuala Lumpur
TCE Tackles Sdn Bhd,4.02413484,101.01607511,Fishing & Hunting,63.29,4.2,Perak
TCE Tackles Sdn Bhd,3.07451235,101.64692079,Fishing & Hunting,57.43,4.0,Selangor
Dewan Badminton MMA,2.80048077,101.48264256,Other Outdoor & Lawn Sports,36.17,4.3,Selangor
TCE Tackles Sdn Bhd,1.66861313,103.58525881,Fishing & Hunting,56.71,3.7,Johor
RedLine Gym Johor Bahru,1.53211548,103.73177657,Gyms & Studios,39.14,4.7,Johor
Sport Planet Futsal Cheng,2.26940991,102.22604882,Recreation Centers,35.86,4.1,Melaka
Selangor Shooting Association,3.13299019,101.56441374,Shooting & Gun Ranges,60.67,4.6,Selangor
Third Space Pilates - Mont Kiara,3.16736547,101.6442048,Gyms & Studios,34.71,4.9,Kuala Lumpur
1 One Fitness Setia Alam,3.08745388,101.47479855,Gyms & Studios,35.29,4.9,Selangor
Royal Seri Menanti Golf & Country Club,2.70844439,102.15465561,Golf & Driving Ranges,50.71,4.0,Negeri Sembilan
TCE Tackles Sdn Bhd,5.12144566,100.48391257,Fishing & Hunting,58.29,4.0,Perak
TCE Tackles Sdn Bhd,5.9942871,116.13240893,Fishing & Hunting,69.29,4.4,Sabah
TOP GYM FITNESS (TMN DESA CEMERLANG) 小巨人健身室,1.55411071,103.81378414,Gyms & Studios,63.14,4.6,Johor
Seven Star Gym Pulau Tikus,5.42763456,100.31277171,Gyms & Studios,42.14,4.9,Other
24-Hour Gym: Anytime Fitness Tanjung Tokong George Town Penang,5.44978083,100.30239666,Gyms & Studios,38.86,4.8,Penang
Jabfit & TCM Rehab,5.43079815,100.30861378,Gyms & Studios,34.86,5.0,Penang
EAST SOUND Fitness Center Club,5.39031963,100.28092771,Gyms & Studios,52.14,4.8,Other
Anytime Fitness Platinum Arena,3.08209245,101.66060952,Gyms & Studios,38.14,4.4,Kuala Lumpur
Train by Blackbox,3.06924631,101.59280672,Gyms & Studios,31.17,5.0,Selangor
Kayxi Beauty Spa and Makeup,6.10378413,102.2085194,Saunas & Spas,54.14,5.0,Kelantan
Celebrity Fitness Gym - Queensbay Mall,5.33271881,100.30411635,Gyms & Studios,43.86,3.9,Other
Hikari Martial Arts Gym | Ampang Branch,3.16124362,101.72570512,Martial Arts & Dojos,32.57,4.9,Kuala Lumpur
FEBA Fight Club,3.16411951,101.57121547,Martial Arts & Dojos,46.14,5.0,Selangor
Merican Muay Thai Gym - Damansara Jaya,3.12542678,101.60973118,Martial Arts & Dojos,47.0,4.4,Selangor
MMA Sports Hub,1.50969663,110.33342166,Martial Arts & Dojos,35.14,5.0,Sarawak
Novothai Spa,4.57764594,101.0801454,Saunas & Spas,56.43,4.7,Perak
Toy World Amusement Baby Shark Adventure Ville,1.51633113,103.68224855,Recreation Centers,37.29,3.7,Johor
Kolam Pancing Santai Sg. Tekali (Rohu & Patin),3.11396752,101.8501179,Fishing & Hunting,43.43,4.9,Selangor
Kolam Pancing NAZ Fishing Valley,3.18323579,101.30680089,Fishing & Hunting,34.67,3.6,Selangor
Melwood Arena Sungai Buloh,3.21909467,101.59972561,Team Sports & Fields,29.71,4.5,Selangor
Power Gym Kuching City Mall,1.49523329,110.30085121,Gyms & Studios,51.57,4.5,Sarawak
V Spa Bintulu,3.18307631,113.03913274,Saunas & Spas,63.14,4.9,Sarawak
Sergio Aguero Arena,3.85885096,103.32385056,Ball Sports,28.14,4.9,Pahang
EV Arena Elmina,3.1811333,101.50849086,Team Sports & Fields,17.43,4.4,Selangor
Tunas Badminton Sports Centre,2.70777619,101.9175103,Team Sports & Fields,20.0,4.9,Negeri Sembilan
