category,rating,name,state
Saunas & Spas,4.7,Novothai Spa,Perak
Recreation Centers,3.7,Toy World Amusement Baby Shark Adventure Ville,Johor
Fishing & Hunting,4.9,Kolam Pancing Santai Sg. Tekali (Rohu & Patin),Selangor
Fishing & Hunting,3.6,Kolam Pancing NAZ Fishing Valley,Selangor
Team Sports & Fields,4.5,Melwood Arena Sungai Buloh,Selangor
Gyms & Studios,4.5,Power Gym Kuching City Mall,Sarawak
Saunas & Spas,4.9,V Spa Bintulu,Sarawak
Ball Sports,4.9,Sergio Aguero Arena,Pahang
Team Sports & Fields,4.4,EV Arena Elmina,Selangor
Team Sports & Fields,4.9,Tunas Badminton Sports Centre,Negeri Sembilan
Recreation Centers,4.6,Pronet Sport Centre,Negeri Sembilan
Other Outdoor & Lawn Sports,3.5,Yosin Badminton Court 2 (Previously known as Elite Sports),Selangor
Recreation Centers,4.8,Mini Mak Chili Stadium,Terengganu
Team Sports & Fields,4.4,Footballhub @ Eco Grandeur,Selangor
Recreation Centers,4.2,Esplanade Bowl Kg. Koh,Perak
Other Outdoor & Lawn Sports,3.9,Elite Futsal and Badminton,Perak
Team Sports & Fields,4.7,FR Badminton Sports,Selangor
Recreation Centers,4.8,Dewan Badminton Haji Amir,Terengganu
Other Outdoor & Lawn Sports,5.0,Tupah Sports Centre,Kedah
Recreation Centers,4.7,Batu Berendam Badminton Hall,Melaka
Team Sports & Fields,3.8,UIA Football Turf,Kuala Lumpur
Recreation Centers,4.4,BB Sports Park,Kuala Lumpur
Gyms & Studios,4.2,Level Up Fitness Xpress Marina Square (24 Hour Gym),Sarawak
Gyms & Studios,4.2,Kapten Gym,Negeri Sembilan
Ball Sports,4.8,AS Futsal Tok Jembal,Terengganu
Ball Sports,4.9,Miya Futsal Sport Centre,Terengganu
Ball Sports,4.8,Futsal Arena Alam,Johor
Gyms & Studios,5.0,BFT Damansara Heights,Kuala Lumpur
Recreation Centers,4.5,雪兰莪兿峰龍獅體育會 Persatuan Sukan Ngai Fong Ampang Selangor,Selangor
Recreation Centers,4.4,Sakura Spa,Kuala Lumpur
Golf & Driving Ranges,4.8,Wedge Range PJ,Selangor
Golf & Driving Ranges,5.0,VSE GOLF RANGE SIMULATOR,Selangor
Golf & Driving Ranges,5.0,Underpar Driving Range,Pahang
Skating & Rinks,4.1,Blue Ice Snow Park @ Pavilion Bukit Jalil,Kuala Lumpur
Fishing & Hunting,3.3,Kolam Pancing MV Air Masin,Selangor
Saunas & Spas,4.8,Genki Wellness Centre & Japanese Spa,Other
Saunas & Spas,4.9,Crystal Leaf Beauty SPA,Johor
Gyms & Studios,4.2,AP GYM & FITNESS,Johor
Gyms & Studios,4.8,Kong Gym and Body Building Centre,Negeri Sembilan
Gyms & Studios,4.8,Pro-Fit Fitness Studio (1-on-1 Personal Training Private Studio),Kuala Lumpur
Other Outdoor & Lawn Sports,4.7,TOP GRACE ARENA SPORT,Sabah
Gyms & Studios,4.4,AFC Athlete Fitness Centre,Johor
